zone,spec,wald_leads_p,l2014,l2015,l2016,p2018,p2019,p2020,se_post
mona,d_cargo,0.0000000404,-0.141,-0.191,-0.151,-0.065,0.098,0.301,0.04
mona,d_nonf,0.0000000000212,-0.264,-0.237,-0.194,-0.193,0.076,0.368,0.041
mona,ratio,0.0000000757,0.073,-0.052,-0.066,-0.15,0.024,-0.219,0.088
apa,d_cargo,0.000336,0.015,-0.056,-0.009,-0.037,0.165,0.295,0.024
apa,d_nonf,0.000054,-0.044,-0.094,-0.014,-0.031,0.168,0.318,0.024
apa,ratio,0.0000000012,0.192,0.081,0.055,0.059,0.339,0.262,0.057
ring_0_10,d_cargo,0.0864,-0.02,-0.155,-0.167,-0.072,-0.277,-0.137,0.078
ring_0_10,d_nonf,0.0499,-0.049,-0.196,-0.148,-0.064,-0.226,-0.094,0.08
ring_0_10,ratio,0.0968,0.233,-0.252,-0.175,-0.264,-0.272,-0.22,0.119
ring_10_25,d_cargo,0.000281,-0.195,-0.259,0.016,0.238,-0.045,-0.24,0.076
ring_10_25,d_nonf,0.0000215,-0.243,-0.297,-0.008,0.253,-0.038,-0.237,0.081
ring_10_25,ratio,0.0000577,-0.574,-0.928,-0.477,0.637,-0.57,-0.844,0.294
ring_25_50,d_cargo,0.00000286,-0.243,-0.311,-0.147,0.174,-0.146,-0.254,0.064
ring_25_50,d_nonf,0.000000611,-0.269,-0.332,-0.155,0.179,-0.125,-0.257,0.065
ring_25_50,ratio,0.000285,-0.645,-0.78,-0.491,0.952,-0.101,-0.413,0.273
ring_50_100,d_cargo,0.00000000000136,-0.279,-0.311,-0.107,0.171,-0.046,-0.139,0.04
ring_50_100,d_nonf,0.000000000000321,-0.297,-0.324,-0.119,0.164,-0.032,-0.158,0.042
ring_50_100,ratio,0.00000149,-0.577,-0.588,-0.348,0.515,-0.249,-0.328,0.138
