zone,spec,wald_leads_p,ym4,ym3,ym2,y0,y1,y2,y3,y4,y5,y6,mean_post,se_post
mona,ihs_preais,0.0000000000000000000000000000000000000000000000000000000000000000202,0.133,0.096,0.011,-0.089,-0.024,0.022,0.005,0.048,0.096,0.123,0.026,0.019
mona,ihs_preais_sst,0.000000000000000000000000000000000000000000000000000000000000063,0.138,0.096,0.021,-0.084,-0.008,0.03,0.002,0.049,0.105,0.135,0.033,0.019
mona,ppml_preais_sst,0,-13.653,-14.009,-14.572,0.025,-2.211,-2.167,-14.806,-2.021,-14.122,-2.587,-5.413,0.538
apa,ihs_preais,0.00000000000000000000000000000000000000000000000000000000000000000000000000000165,0.156,0.119,0.037,-0.031,0.072,0.059,0.043,0.065,0.143,0.181,0.076,0.013
apa,ihs_preais_sst,0.0000000000000000000000000000000000000000000000000000000000000000000000000051,0.16,0.123,0.047,-0.026,0.085,0.067,0.045,0.067,0.151,0.194,0.083,0.013
apa,ppml_preais_sst,0.00000000000000000465,-2.752,-4.642,-2.776,0.779,1.203,0.364,-0.354,-2.601,0.511,1.283,0.169,0.308
ring_0_10,ihs_preais,0.0741,-0.055,-0.084,-0.047,-0.13,-0.136,-0.15,-0.135,-0.122,-0.07,-0.085,-0.118,0.043
ring_0_10,ihs_preais_sst,0.0586,-0.053,-0.082,-0.038,-0.125,-0.123,-0.143,-0.136,-0.12,-0.063,-0.074,-0.112,0.042
ring_0_10,ppml_preais_sst,0.00000000318,0.367,-2.271,-0.524,-0.449,-1.151,-2.028,-0.96,-1.954,-1.667,-3.864,-1.724,0.408
ring_10_25,ihs_preais,0.000267,-0.144,-0.167,-0.019,0.154,-0.058,-0.235,-0.168,-0.205,-0.138,-0.203,-0.122,0.052
ring_10_25,ihs_preais_sst,0.000199,-0.144,-0.166,-0.015,0.156,-0.05,-0.231,-0.168,-0.205,-0.134,-0.197,-0.118,0.052
ring_10_25,ppml_preais_sst,0.000123,0.166,-1.279,-0.094,0.226,-0.246,-1.66,-1.198,-1.275,-1.037,-2.511,-1.1,0.288
ring_25_50,ihs_preais,0.000000363,-0.238,-0.26,-0.128,0.134,-0.1,-0.319,-0.193,-0.231,-0.228,-0.315,-0.179,0.046
ring_25_50,ihs_preais_sst,0.000000395,-0.237,-0.26,-0.122,0.137,-0.091,-0.314,-0.193,-0.231,-0.222,-0.307,-0.174,0.046
ring_25_50,ppml_preais_sst,0.000902,-0.499,-1.068,-0.419,0.16,-0.046,-1.477,-0.385,-0.604,-0.982,-2.029,-0.766,0.201
ring_50_100,ihs_preais,0.00000000000000848,-0.248,-0.257,-0.144,0.108,-0.145,-0.295,-0.197,-0.171,-0.251,-0.304,-0.179,0.032
ring_50_100,ihs_preais_sst,0.0000000000000146,-0.246,-0.255,-0.138,0.112,-0.137,-0.289,-0.196,-0.171,-0.246,-0.297,-0.175,0.032
ring_50_100,ppml_preais_sst,0.00000557,-0.637,-0.871,-0.299,-0.062,-0.34,-1.245,-0.474,-0.246,-0.858,-1.301,-0.647,0.155
