zone,spec,wald_leads_p,l2014,l2015,l2016,p2018,p2019,p2020
mona,placebo_cargo,0.000000000000000000000004,0.274,0.287,0.162,-0.03,-0.105,-0.349
mona,placebo_nonfish,0.00000000000000000000000147,0.397,0.333,0.205,0.099,-0.083,-0.416
mona,fish_ctrl_cargo,0.00000000000000000000000000000000000000000000000000000000000000000107,0.137,0.1,0.013,-0.095,-0.009,-0.052
mona,fish_ctrl_nonf,0.0000000000000000000000000000000000000000000000000000000000000674,0.13,0.093,0.01,-0.095,-0.007,-0.044
apa,placebo_cargo,0.00000000000000000000839,0.141,0.174,0.046,0.034,-0.063,-0.202
apa,placebo_nonfish,0.000000000000000000000000000178,0.201,0.212,0.051,0.028,-0.065,-0.225
apa,fish_ctrl_cargo,0.000000000000000000000000000000000000000000000000000000000000000000000000000000469,0.158,0.12,0.037,-0.002,0.102,0.091
apa,fish_ctrl_nonf,0.00000000000000000000000000000000000000000000000000000000000000000000000000899,0.153,0.115,0.036,-0.003,0.104,0.097
ring_0_10,placebo_cargo,0.0864,-0.036,0.071,0.12,-0.068,0.066,0.097
ring_0_10,placebo_nonfish,0.0625,-0.006,0.112,0.101,-0.076,0.014,0.054
ring_0_10,fish_ctrl_cargo,0.0837,-0.056,-0.083,-0.045,-0.141,-0.211,-0.038
ring_0_10,fish_ctrl_nonf,0.0661,-0.055,-0.085,-0.048,-0.139,-0.212,-0.04
ring_10_25,placebo_cargo,0.148,0.051,0.092,-0.036,-0.087,0.024,0.171
ring_10_25,placebo_nonfish,0.0658,0.098,0.13,-0.012,-0.102,0.016,0.168
ring_10_25,fish_ctrl_cargo,0.000308,-0.144,-0.166,-0.02,0.15,-0.021,-0.067
ring_10_25,fish_ctrl_nonf,0.000224,-0.145,-0.168,-0.019,0.152,-0.022,-0.071
ring_25_50,placebo_cargo,0.427,0.004,0.051,0.02,-0.046,0.127,0.144
ring_25_50,placebo_nonfish,0.284,0.031,0.072,0.027,-0.051,0.107,0.147
ring_25_50,fish_ctrl_cargo,0.000000398,-0.238,-0.259,-0.128,0.127,-0.017,-0.109
ring_25_50,fish_ctrl_nonf,0.000000318,-0.239,-0.261,-0.128,0.128,-0.02,-0.112
ring_50_100,placebo_cargo,0.026,0.031,0.054,-0.037,-0.061,0.047,0.049
ring_50_100,placebo_nonfish,0.0201,0.049,0.066,-0.024,-0.054,0.034,0.068
ring_50_100,fish_ctrl_cargo,0.0000000000000115,-0.248,-0.257,-0.144,0.11,0.002,-0.089
ring_50_100,fish_ctrl_nonf,0.00000000000000581,-0.249,-0.258,-0.143,0.111,0.001,-0.09
