dx,dy,n_ring,beta
-2,-2,28,-0.00765379002574945
-2,-1.5,27,-0.0441223488901964
-2,-1,27,-0.0493202552981754
-2,-0.5,28,0.0262745030916564
-2,0,30,0.0845072852725096
-2,0.5,27,0.0659855989257576
-2,1,25,0.0702375782264619
-2,1.5,25,0.105034045253953
-2,2,25,0.0973854792785874
-1.5,-2,29,-0.0523082231824442
-1.5,-1.5,28,-0.0847348442439842
-1.5,-1,26,-0.0386589895265461
-1.5,-0.5,26,-0.0250954407877517
-1.5,0,30,0.0240443556996911
-1.5,0.5,26,0.0450032956422961
-1.5,1,24,0.0326809173082553
-1.5,1.5,24,0.0728343586150613
-1.5,2,25,0.0726951495573388
-1,-2,28,-0.080264830972681
-1,-1.5,27,-0.0845151610768568
-1,-1,28,-0.0696169869683772
-1,-0.5,25,-0.0770714688339398
-1,0,30,-0.00391464785487326
-1,0.5,24,0.0330457595133986
-1,1,24,0.0397256173463012
-1,1.5,22,0.0748053207918245
-1,2,23,0.0565327420331008
-0.5,-2,25,-0.0688342767333088
-0.5,-1.5,26,-0.0932990907517923
-0.5,-1,26,-0.119205257259687
-0.5,-0.5,26,-0.0999303330233548
-0.5,0,29,-0.0270447330632671
-0.5,0.5,22,0.0484834391557357
-0.5,1,22,0.0704694378852851
-0.5,1.5,21,0.0211589064392755
-0.5,2,21,0.0144599523283809
0,-2,25,-0.130812483024758
0,-1.5,24,-0.130716947274971
0,-1,23,-0.129367231225983
0,-0.5,22,-0.0983168131620156
0,0.5,18,0.00498844650193401
0,1,19,0.0307505872030371
0,1.5,20,0.0165993195279618
0,2,21,0.0292403393789623
0.5,-2,23,-0.111549454874313
0.5,-1.5,23,-0.0873207900851743
0.5,-1,23,-0.115511279882868
0.5,-0.5,20,-0.137693229444863
0.5,0,24,-0.153572001619471
0.5,0.5,18,-0.0540927933423187
0.5,1,19,0.0458066483558793
0.5,1.5,20,-0.0327865574207494
0.5,2,20,-0.0136025060380751
1,-2,24,-0.0818020350252674
1,-1.5,22,-0.0806673033529578
1,-1,22,-0.139685132920518
1,-0.5,20,-0.107763939062672
1,0,24,-0.123830181607177
1,0.5,17,-0.0816473241853263
1,1,20,0.000627192534650972
1,1.5,19,-0.0366081252336128
1,2,21,-0.0338143926471001
1.5,-2,24,-0.111808685092696
1.5,-1.5,22,-0.139291713010274
1.5,-1,21,-0.175831242659498
1.5,-0.5,22,-0.119147119107407
1.5,0,25,-0.17309652974914
1.5,0.5,18,-0.104876072498388
1.5,1,19,-0.0300707267796836
1.5,1.5,20,-0.0517173281144749
1.5,2,21,-0.059809089245682
2,-2,24,-0.15435205423396
2,-1.5,23,-0.1688886939091
2,-1,22,-0.146155096511027
2,-0.5,23,-0.0991656802225651
2,0,25,-0.17462795957542
2,0.5,20,-0.123753989083386
2,1,19,-0.00462082949492138
2,1.5,21,-0.01364021140762
2,2,22,-0.00951439677726279
