zone,spec,wald_leads_p,l2014,l2015,l2016,p2018,p2019,p2020,se_post,elast_cargo,n
mona,ppml_cargo,0,-12.865,-13.068,-13.694,-0.284,-0.223,-1.493,0.405,-0.092,64516
mona,ppml_offset1,0,-13.047,-13.289,-13.503,-0.267,-0.075,-1.388,0.403,1,64516
apa,ppml_cargo,0,-13.205,-4.287,-2.489,1.053,1.798,1.606,0.226,-0.095,84122
apa,ppml_offset1,0,-12.908,-4.52,-2.597,0.974,1.835,1.781,0.228,1,84122
ring_0_10,ppml_cargo,0.000000304,0.791,-2.173,-0.322,-0.655,-1.193,-0.148,0.332,-0.095,63985
ring_0_10,ppml_offset1,0.000000464,0.853,-2.397,-0.476,-0.531,-1.224,-0.368,0.357,1,63985
ring_10_25,ppml_cargo,0.0261,-0.268,-1.117,-0.026,0.212,-0.304,-0.325,0.251,-0.087,65777
ring_10_25,ppml_offset1,0.0121,-0.448,-1.167,0.061,0.331,-0.311,-0.513,0.271,1,65777
ring_25_50,ppml_cargo,0.0793,-0.61,-0.671,-0.264,0.189,-0.116,-0.169,0.173,-0.079,66831
ring_25_50,ppml_offset1,0.0731,-0.613,-0.667,-0.301,0.24,-0.238,-0.363,0.187,1,66831
ring_50_100,ppml_cargo,0.000325,-0.863,-0.787,-0.307,-0.081,-0.304,-0.356,0.13,-0.037,75027
ring_50_100,ppml_offset1,0.000444,-0.85,-0.824,-0.252,-0.04,-0.357,-0.38,0.131,1,75027
