zone,spec,wald_leads_p,l2014,l2015,l2016,p2018,p2019,p2020,se_post
mona,ihs,0.0000000000000000000000000000000000000000000000000000000000000000204,0.133,0.096,0.011,-0.089,-0.024,0.022,0.019
mona,ppml,0,-12.692,-13.115,-13.745,0.008,-2.304,-2.215,0.603
apa,ihs,0.00000000000000000000000000000000000000000000000000000000000000000000000000000166,0.156,0.119,0.037,-0.031,0.072,0.059,0.014
apa,ppml,0.00000000000000000055,-2.642,-4.576,-2.859,0.678,1.04,0.076,0.213
ring_0_10,ihs,0.0741,-0.055,-0.084,-0.047,-0.13,-0.136,-0.15,0.042
ring_0_10,ppml,0.00000000103,0.378,-2.32,-0.558,-0.494,-1.248,-2.087,0.335
ring_10_25,ihs,0.000267,-0.144,-0.167,-0.019,0.154,-0.058,-0.235,0.057
ring_10_25,ppml,0.0000697,0.197,-1.292,-0.084,0.22,-0.283,-1.658,0.234
ring_25_50,ihs,0.000000363,-0.238,-0.26,-0.128,0.134,-0.1,-0.319,0.05
ring_25_50,ppml,0.000609,-0.493,-1.124,-0.418,0.142,-0.132,-1.475,0.176
ring_50_100,ihs,0.0000000000000085,-0.248,-0.257,-0.144,0.108,-0.145,-0.295,0.035
ring_50_100,ppml,0.00000189,-0.652,-0.929,-0.322,-0.092,-0.41,-1.255,0.137
