year,month,benef,valor_mi
2019,1,1527,3.1
2019,2,6385,15.6
2019,3,11834,24.6
2019,4,11631,29.9
2019,5,5939,18.1
2019,6,3569,8.9
2019,7,3157,6.2
2019,8,2839,4.8
2019,9,4711,7.3
2019,10,5749,7.1
2019,11,4449,8.1
2019,12,6370,9
2020,1,14352,27.3
2020,2,14901,23.8
2020,3,18580,31.2
2020,4,7016,13.9
2020,5,3623,10
2020,6,3905,9.7
2020,7,2309,5
2020,8,3450,6.1
2020,9,4780,8.5
2020,10,5461,10.8
2020,11,5213,9
2020,12,7472,9.9
2021,1,7543,10.2
2021,2,16348,35.9
2021,3,19848,42.7
2021,4,8997,18.9
2021,5,4500,14.3
2021,6,3379,8.7
2021,7,3302,6.3
2021,8,5591,8.9
2021,9,5732,8.5
2021,10,6541,8.4
2021,11,7007,9.5
2021,12,13108,16.3
2022,1,17642,26.1
2022,2,22246,32.9
2022,3,21378,38.2
2022,4,6833,13.7
2022,5,2334,6.2
2022,6,2843,8.4
2022,7,757,2.8
2022,8,4853,12.3
2022,9,4539,8.4
2022,10,6039,10.8
2022,11,6319,10.5
2022,12,8917,13.3
2023,1,16738,31.9
2023,2,19445,39.4
2023,3,22231,45.6
2023,4,10283,27.1
2023,5,3777,10.6
2023,6,883,4
2023,7,3027,6.3
2023,8,5102,8.9
2023,9,5078,8.2
2023,10,7603,11.8
2023,11,7392,12.3
2023,12,17029,24.4
2024,1,25593,53
2024,2,21158,47.2
2024,3,22015,39.7
2024,4,11384,26.8
2024,5,2734,6
2024,6,335,1
2024,7,2792,5.2
2024,8,3855,6.1
2024,9,5529,10.1
2024,10,7731,12.8
2024,11,4908,7.6
2024,12,2039,3.3
